iter	Passed	Remaining
0	145	145059
1	145	72794
2	146	48684
3	147	36623
4	147	29415
5	148	24633
6	149	21186
7	149	18598
8	150	16579
9	151	14959
10	151	13646
11	152	12537
12	152	11601
13	153	10800
14	153	10109
15	154	9524
16	155	9005
17	156	8541
18	157	8119
19	157	7733
20	158	7383
21	158	7066
22	159	6774
23	160	6514
24	160	6276
25	161	6050
26	162	5842
27	162	5648
28	163	5469
29	163	5301
30	164	5145
31	165	4994
32	165	4855
33	166	4726
34	167	4608
35	167	4492
36	168	4382
37	168	4275
38	169	4172
39	169	4077
40	170	3985
41	171	3912
42	172	3842
43	173	3765
44	173	3688
45	174	3615
46	174	3547
47	175	3481
48	176	3417
49	176	3356
50	177	3297
51	177	3241
52	178	3193
53	179	3144
54	180	3097
55	180	3049
56	181	3002
57	181	2955
58	182	2912
59	183	2870
60	183	2831
61	184	2793
62	185	2759
63	186	2723
64	186	2688
65	187	2653
66	188	2619
67	188	2586
68	189	2555
69	190	2526
70	190	2499
71	191	2470
72	192	2442
73	192	2414
74	193	2386
75	194	2360
76	194	2333
77	195	2307
78	195	2284
79	196	2262
80	197	2240
81	198	2220
82	198	2194
83	199	2171
84	199	2150
85	200	2129
86	200	2107
87	201	2087
88	202	2069
89	202	2051
90	203	2033
91	204	2015
92	204	1997
93	205	1980
94	206	1963
95	206	1947
96	207	1929
97	207	1913
98	208	1899
99	209	1884
100	209	1869
101	210	1853
102	211	1837
103	211	1823
104	212	1809
105	212	1795
106	213	1780
107	213	1766
108	214	1755
109	215	1744
110	216	1733
111	217	1720
112	217	1707
113	218	1694
114	218	1682
115	219	1669
116	219	1657
117	220	1646
118	221	1637
119	221	1626
120	222	1615
121	222	1603
122	223	1592
123	224	1583
124	224	1573
125	225	1563
126	225	1552
127	226	1543
128	227	1533
129	227	1524
130	228	1514
131	228	1504
132	229	1495
133	229	1485
134	230	1476
135	230	1466
136	231	1457
137	231	1449
138	232	1442
139	233	1436
140	234	1428
141	234	1419
142	235	1411
143	236	1403
144	236	1395
145	237	1387
146	237	1380
147	238	1373
148	239	1366
149	239	1359
150	240	1352
151	241	1345
152	241	1338
153	242	1331
154	242	1324
155	243	1317
156	243	1310
157	244	1304
158	245	1297
159	245	1291
160	246	1283
161	246	1277
162	247	1270
163	248	1264
164	248	1257
165	249	1251
166	249	1245
167	250	1239
168	251	1236
169	252	1232
170	252	1226
171	253	1220
172	254	1214
173	254	1209
174	255	1203
175	255	1197
176	256	1192
177	257	1187
178	257	1182
179	258	1176
180	258	1171
181	259	1165
182	260	1160
183	260	1156
184	261	1151
185	261	1146
186	262	1142
187	263	1137
188	263	1132
189	264	1127
190	265	1122
191	265	1118
192	266	1113
193	266	1108
194	267	1104
195	268	1099
196	268	1095
197	269	1091
198	270	1087
199	270	1082
200	271	1078
201	271	1073
202	272	1069
203	272	1065
204	273	1060
205	274	1056
206	274	1052
207	275	1049
208	276	1046
209	277	1043
210	277	1038
211	278	1034
212	279	1030
213	279	1026
214	280	1022
215	280	1019
216	281	1015
217	282	1012
218	282	1008
219	283	1005
220	284	1002
221	285	999
222	286	996
223	286	994
224	287	991
225	288	988
226	289	985
227	290	982
228	290	978
229	291	974
230	291	971
231	292	968
232	293	965
233	294	964
234	295	962
235	296	959
236	297	956
237	297	952
238	298	949
239	298	946
240	299	943
241	300	940
242	300	936
243	301	933
244	301	929
245	302	926
246	302	923
247	303	920
248	303	916
249	304	913
250	305	910
251	305	907
252	306	904
253	306	901
254	307	898
255	308	895
256	308	892
257	309	890
258	310	887
259	310	884
260	311	882
261	312	879
262	313	877
263	314	876
264	314	873
265	315	870
266	316	868
267	316	865
268	317	862
269	318	860
270	318	857
271	319	854
272	319	851
273	320	849
274	321	846
275	321	843
276	322	841
277	322	838
278	323	835
279	324	833
280	324	830
281	325	828
282	325	825
283	326	822
284	326	819
285	327	817
286	327	814
287	328	811
288	328	809
289	329	806
290	330	804
291	331	803
292	332	801
293	332	799
